time,MLSSbasin5,TSSras,TSSeffluent
2023-10-04 00:00:00.000000000,1650.0,4670.0,1.6683
2023-10-11 00:00:00.000000000,2245.4023,5392.64706,4.3736
2023-10-13 10:59:59.712000000,,4966.66667,2.3581
2023-10-16 13:14:59.712000000,2040.0,3977.77778,1.7512
2023-10-18 11:35:00.096000000,2070.0,5870.0,12.5658
2023-10-23 13:30:00.000000000,1170.0,2425.0,5.4464
2023-10-25 10:14:59.712000000,2050.0,4860.0,13.5
2023-11-01 10:59:59.712000000,2430.0,4650.0,14.512
2023-11-06 13:30:00.000000000,2140.0,8030.0,25.4342
2023-11-08 10:20:00.384000000,2520.0,4050.0,21.5
2023-11-13 13:09:59.904000000,2290.0,3533.33333,9.3984
2023-11-15 10:30:00.000000000,1470.0,3780.0,5.0
2023-11-20 09:20:00.096000000,,,12.5
2023-11-20 13:12:59.616000000,1900.0,2880.0,10.8312
2023-11-21 09:09:59.616000000,,,13.0
2023-11-22 12:53:00.384000000,780.0,8040.0,1.0
2023-11-23 08:55:00.192000000,,,6.5
2023-11-24 09:56:59.712000000,,,17.0
2023-11-27 13:20:00.384000000,2525.0,4840.0,8.7994
2023-11-28 08:50:00.384000000,,,5.5
2023-11-29 10:00:00.288000000,2020.0,4090.0,5.0
2023-11-30 08:50:00.384000000,,,4.0
2023-12-01 08:37:59.808000000,,,16.0
2023-12-04 13:14:59.712000000,,,1.2423
2023-12-04 13:15:15.264000000,2300.0,4170.0,
2023-12-05 08:53:00.096000000,,,4.5
2023-12-06 10:30:00.000000000,1760.0,2990.0,3.1974
2023-12-07 08:51:00.000000000,,,6.5
2023-12-11 08:19:59.807999999,,,6.7708
2023-12-11 13:20:00.384000000,1860.0,3370.0,13.7765
2023-12-12 08:19:59.807999999,,,8.878
2023-12-13 07:59:59.712000000,,,11.7926
2023-12-13 10:30:00.000000000,1205.0,3250.0,10.1701
2023-12-14 08:15:00.000000000,,,11.4487
2023-12-15 08:15:00.000000000,,,5.2357
2023-12-18 08:15:00.000000000,,,4.1731
2023-12-18 13:20:00.384000000,570.0,1350.0,6.8701
2023-12-19 08:12:00.287999999,,,10.4268
2023-12-20 10:05:00.096000000,1110.0,2480.0,3.4693
2023-12-21 08:06:59.616000000,,,7.5758
2023-12-22 08:03:59.904000000,,,4.1237
2024-01-03 10:34:59.808000000,1030.0,4110.0,27.0
2024-01-08 10:30:00.000000000,1200.0,3680.0,25.0
2024-01-10 10:45:00.288000000,1270.0,4030.0,15.4519
2024-01-15 13:20:00.384000000,1600.0,4320.0,3.5
2024-01-19 10:00:00.288000000,1370.0,4120.0,13.2895
2024-01-26 10:59:59.712000000,2340.0,4866.66667,13.0
2024-01-31 10:00:00.288000000,,,5.5
2024-02-09 10:27:59.904000000,1650.0,4740.0,28.5
2024-02-23 09:09:59.616000000,1750.0,2650.0,6.5612
2024-03-01 08:50:00.384000000,1660.0,3160.0,6.5
2024-03-08 08:50:00.384000000,1200.0,1830.0,7.5
2024-03-22 08:57:00.287999999,1230.0,2590.0,8.0
2024-04-10 10:14:59.712000000,2035.14739,2654.91651,
2024-04-19 10:20:00.384000000,6240.0,1810.0,43.7597
2024-05-01 13:14:59.712000000,3100.0,2410.0,
2024-05-08 13:14:59.712000000,441.04747,817.48931,78.7577
2024-05-15 13:14:59.712000000,381.11111,614.28571,69.7745
2024-05-22 12:49:59.808000000,1443.06723,1492.22689,6.1304
2024-05-29 12:45:00.000000000,1264.83051,1819.79167,12.6316
2024-06-05 13:09:59.904000000,1011.02941,1872.16057,15.625
2024-06-12 12:20:00.096000000,956.41304,1616.45963,56.075
2024-06-19 12:22:59.808000000,1358.68347,2669.65812,1.6667
2024-06-27 11:39:59.904000000,1081.08974,1940.93567,3.3089
2024-07-03 12:47:00.096000000,1352.1576,2204.54545,11.1678
2024-07-10 12:56:00.096000000,1059.47368,1755.21739,18.4007
2024-07-17 09:15:00.288000000,1261.37476,2045.26316,0.9091
2024-07-24 07:59:59.712000000,847.41379,1540.81134,6.1717
2024-07-31 00:00:00.000000000,849.57746,1694.82759,5.6783
2024-08-07 13:00:59.903999999,894.94501,1653.20513,1.879
2024-08-14 13:07:00.192000000,671.76953,978.83311,6.9829
